109,34.73 ,127.89 ,323,남해 가천 해변과 암수바위
110,34.73 ,128.40 ,314,연대도 해수욕장
111,34.74 ,127.86 ,331,선구몽돌해변
112,34.63 ,127.18 ,112,용동 해수욕장
113,34.43 ,127.14 ,113,익금 해수욕장
114,34.45 ,127.12 ,114,연소 해수욕장
115,34.49 ,127.36 ,115,발포 해수욕장
116,34.43 ,127.49 ,116,염포 해수욕장
117,34.47 ,127.47 ,117,나로우주 해수욕장
118,34.66 ,127.23 ,118,풍류 해수욕장
119,34.71 ,127.27 ,119,대전 해수욕장
120,34.58 ,127.49 ,120,남열해돋이 해수욕장
121,34.53 ,127.46 ,121,덕흥 해수욕장
122,34.67 ,127.09 ,122,율포 해수욕장
123,34.64 ,127.03 ,123,수문  해수욕장
124,34.74 ,128.05 ,329,항도몽돌해수욕장과 항도방파제
125,34.32 ,126.58 ,125,사구미 해수욕장
126,34.75 ,125.90 ,120,하트해변(하누넘해수욕장)
127,34.31 ,126.52 ,127,송호땅끝 해수욕장
128,35.06 ,126.34 ,128,홀통 해수욕장
129,34.97 ,126.39 ,129,톱머리 해수욕장
130,34.79 ,127.85 ,331,구미동해변 (구미동해수욕장)
131,35.09 ,126.44 ,131,돌머리  해수욕장
132,34.84 ,128.08 ,360,모상개해수욕장
133,35.40 ,126.41 ,133,가마미 해수욕장
134,35.27 ,126.15 ,134,송이도 해수욕장
135,34.33 ,127.06 ,135,금일해당화 해수욕장
136,34.33 ,126.81 ,136,신지명사십리 해수욕장
137,34.37 ,126.93 ,137,가사동백숲 해수욕장
138,34.33 ,126.88 ,138,동고 해수욕장
139,34.20 ,126.86 ,139,지리청송 해수욕장
140,34.16 ,126.58 ,140,통리솔밭 해수욕장
141,34.16 ,126.59 ,141,중리 해수욕장
142,34.14 ,126.56 ,142,예송갯돌 해수욕장
143,34.32 ,126.96 ,143,금곡 해수욕장
144,34.44 ,126.36 ,144,가계 해수욕장
145,34.40 ,126.28 ,145,금갑 해수욕장
146,34.84 ,128.58 ,361,죽림해수욕장
147,34.25 ,126.05 ,147,관매도 해수욕장
148,34.28 ,126.07 ,148,신전 해수욕장
149,34.88 ,126.05 ,149,분계 해수욕장
150,34.97 ,126.14 ,150,우전 해수욕장
151,35.10 ,126.07 ,151,대광 해수욕장
152,34.86 ,126.03 ,152,백길 해수욕장
153,34.78 ,125.92 ,153,원평 해수욕장
154,34.75 ,125.89 ,154,하트 해수욕장
155,34.67 ,125.95 ,155,시목 해수욕장
156,34.61 ,125.83 ,156,돈목 해수욕장
157,34.44 ,127.16 ,157,금장 해수욕장
158,34.68 ,127.78 ,158,무술목 해수욕장
159,34.84 ,127.49 ,125,화포해변
160,34.92 ,126.06 ,315,둔장해변
161,34.96 ,127.76 ,415,배알도해수욕장
162,34.98 ,128.69 ,392,두모몽돌해변
163,35.00 ,126.34 ,125,조금나루해수욕장
164,35.04 ,128.97 ,308,몰운대(부산 국가지질공원)
165,35.06 ,129.08 ,268,감지해변
166,35.14 ,126.39 ,131,안악해수욕장
167,34.29 ,127.36 ,167,손죽 해수욕장
168,34.18 ,126.91 ,168,신흥 해수욕장
